5/7 12:53:58.823  Initialize
5/7 12:53:59.851  Wait Started -- FileData ID 985799
5/7 12:53:59.851  Wait Finished -- FileData ID 985799
5/7 12:53:59.905  Wait Started -- FileData ID 1305138
5/7 12:53:59.905  Wait Finished -- FileData ID 1305138
5/7 12:53:59.905  Wait Started -- FileData ID 1305137
5/7 12:53:59.905  Wait Finished -- FileData ID 1305137
5/7 12:54:10.050  Cancel requested -- Interface\Glues\AccountUpgrade\golden-main.blp
5/7 12:54:10.050  Cancel requested -- Interface\Glues\AccountUpgrade\golden-h.blp
5/7 12:54:10.050  Cancel requested -- Interface\Glues\AccountUpgrade\golden-v.blp
5/7 12:54:10.050  Cancel requested -- Interface\Glues\AccountUpgrade\banners.blp
5/7 12:54:10.050  Cancel requested -- Interface\AchievementFrame\UI-Achievement-IconFrame.blp
5/7 12:54:10.050  Cancel requested -- Interface\FrameGeneral\UI-Background-Rock.blp
5/7 12:54:10.050  Cancel requested -- FileData ID 1723833
5/7 12:54:10.050  Cancel requested -- FileData ID 2406979
5/7 12:54:10.050  Cancel requested -- FileData ID 2406987
5/7 12:54:10.050  Cancel requested -- FileData ID 2406984
5/7 12:54:10.050  Cancel requested -- Interface\COMMON\StreamBackground.blp
5/7 12:54:10.050  Cancel requested -- Interface\COMMON\StreamFrame.blp
5/7 12:54:10.050  Cancel requested -- Interface\COMMON\StreamCircle.blp
5/7 12:54:10.050  Cancel requested -- Interface\COMMON\StreamSpark.blp
5/7 12:54:10.050  Cancel processed -- Interface\COMMON\StreamBackground.blp
5/7 12:54:10.050  Cancel processed -- Interface\COMMON\StreamFrame.blp
5/7 12:54:10.050  Cancel processed -- Interface\COMMON\StreamCircle.blp
5/7 12:54:10.050  Cancel processed -- Interface\COMMON\StreamSpark.blp
5/7 12:54:10.050  Cancel processed -- Interface\Glues\AccountUpgrade\golden-main.blp
5/7 12:54:10.050  Cancel processed -- Interface\AchievementFrame\UI-Achievement-IconFrame.blp
5/7 12:54:10.050  Cancel processed -- Interface\Glues\AccountUpgrade\golden-h.blp
5/7 12:54:10.050  Cancel processed -- Interface\Glues\AccountUpgrade\golden-v.blp
5/7 12:54:10.050  Cancel processed -- Interface\Glues\AccountUpgrade\banners.blp
5/7 12:54:10.050  Cancel processed -- Interface\FrameGeneral\UI-Background-Rock.blp
5/7 12:54:10.050  Cancel processed -- FileData ID 1723833
5/7 12:54:10.050  Cancel processed -- FileData ID 2406979
5/7 12:54:10.050  Cancel processed -- FileData ID 2406987
5/7 12:54:10.050  Cancel processed -- FileData ID 2406984
5/7 12:54:10.050  Wait Started -- FileData ID 131993
5/7 12:54:10.067  Wait Finished -- FileData ID 131993
5/7 12:54:10.067  Wait Started -- FileData ID 481194
5/7 12:54:10.142  Wait Finished -- FileData ID 481194
5/7 12:54:10.142  Wait Started -- FileData ID 131987
5/7 12:54:10.206  Wait Finished -- FileData ID 131987
5/7 12:54:10.206  Wait Started -- FileData ID 1093181
5/7 12:54:10.274  Wait Finished -- FileData ID 1093181
5/7 12:54:10.274  Wait Started -- FileData ID 1510484
5/7 12:54:10.329  Wait Finished -- FileData ID 1510484
5/7 12:54:10.329  Wait Started -- FileData ID 131983
5/7 12:54:10.331  Wait Finished -- FileData ID 131983
5/7 12:54:10.331  Wait Started -- FileData ID 131990
5/7 12:54:10.331  Wait Finished -- FileData ID 131990
5/7 12:54:10.331  Wait Started -- FileData ID 1063509
5/7 12:54:10.331  Wait Finished -- FileData ID 1063509
5/7 12:54:10.331  Wait Started -- FileData ID 1063526
5/7 12:54:10.331  Wait Finished -- FileData ID 1063526
5/7 12:54:10.331  Wait Started -- FileData ID 1063510
5/7 12:54:10.331  Wait Finished -- FileData ID 1063510
5/7 12:54:10.331  Wait Started -- FileData ID 1063511
5/7 12:54:10.331  Wait Finished -- FileData ID 1063511
5/7 12:54:10.331  Wait Started -- FileData ID 1063513
5/7 12:54:10.331  Wait Finished -- FileData ID 1063513
5/7 12:54:10.331  Wait Started -- FileData ID 1063514
5/7 12:54:10.331  Wait Finished -- FileData ID 1063514
5/7 12:54:10.331  Wait Started -- FileData ID 1063515
5/7 12:54:10.331  Wait Finished -- FileData ID 1063515
5/7 12:54:10.331  Wait Started -- FileData ID 1063516
5/7 12:54:10.331  Wait Finished -- FileData ID 1063516
5/7 12:54:10.331  Wait Started -- FileData ID 1063520
5/7 12:54:10.331  Wait Finished -- FileData ID 1063520
5/7 12:54:10.331  Wait Started -- FileData ID 131989
5/7 12:54:10.331  Wait Finished -- FileData ID 131989
5/7 12:54:10.331  Wait Started -- FileData ID 131984
5/7 12:54:10.331  Wait Finished -- FileData ID 131984
5/7 12:54:10.331  Wait Started -- FileData ID 1063528
5/7 12:54:10.331  Wait Finished -- FileData ID 1063528
5/7 12:54:10.331  Wait Started -- FileData ID 1063529
5/7 12:54:10.331  Wait Finished -- FileData ID 1063529
5/7 12:54:10.331  Wait Started -- FileData ID 1063530
5/7 12:54:10.331  Wait Finished -- FileData ID 1063530
5/7 12:54:10.331  Wait Started -- FileData ID 1063533
5/7 12:54:10.331  Wait Finished -- FileData ID 1063533
5/7 12:54:10.331  Wait Started -- FileData ID 1063534
5/7 12:54:10.331  Wait Finished -- FileData ID 1063534
5/7 12:54:10.331  Wait Started -- FileData ID 1093182
5/7 12:54:10.331  Wait Finished -- FileData ID 1093182
5/7 12:54:10.331  Wait Started -- FileData ID 1127985
5/7 12:54:10.331  Wait Finished -- FileData ID 1127985
5/7 12:54:10.331  Wait Started -- FileData ID 1063523
5/7 12:54:10.331  Wait Finished -- FileData ID 1063523
5/7 12:54:10.331  Wait Started -- FileData ID 1127976
5/7 12:54:10.331  Wait Finished -- FileData ID 1127976
5/7 12:54:10.331  Wait Started -- FileData ID 1063522
5/7 12:54:10.331  Wait Finished -- FileData ID 1063522
5/7 12:54:10.331  Wait Started -- FileData ID 1063512
5/7 12:54:10.345  Wait Finished -- FileData ID 1063512
5/7 12:54:10.345  Wait Started -- FileData ID 1063532
5/7 12:54:10.345  Wait Finished -- FileData ID 1063532
5/7 12:54:10.345  Wait Started -- FileData ID 1063524
5/7 12:54:10.345  Wait Finished -- FileData ID 1063524
