4/28 11:01:22.979  Client Initialize.
4/28 11:01:33.172  Initial Hotfixes: Requested
4/28 11:01:33.575  Initial Hotfixes: Received
4/28 11:01:33.702  Initial Hotfixes: Applied
4/28 11:01:37.282  Loading Screen Enable (1) : 2175 - 1
4/28 11:01:38.154  Client Object Manager Initialized: 2175
4/28 11:01:38.786  Succesfully Registered Nameplate
4/28 11:01:39.378  Loading Screen : Loading : Files Read 1739 : Bytes Read 759874197 : Elapsed MS 2098 : MBytes Per Sec 345.411
4/28 11:01:39.378  Loading Screen : XML Loaded 47%
4/28 11:01:40.257  Client : Load Map Begin : 2175
4/28 11:01:41.461  Loading Screen : Loading : Files Read 2110 : Bytes Read 270668195 : Elapsed MS 2083 : MBytes Per Sec 123.922
4/28 11:01:41.461  Loading Screen : XML Loaded 100%
4/28 11:01:41.461  Loading Screen : World Loaded 64%
4/28 11:01:41.588  Client : Load Map End
4/28 11:01:41.591  Start waiting for active player
4/28 11:01:41.591  Character Login SEND
4/28 11:01:42.861  Stop waiting for active player
4/28 11:01:43.252  Active Player Created
4/28 11:01:43.252  Player : Exit Loading Screen : Preload Immediate Begin
4/28 11:01:43.252  Loading Screen Enable (2) : 2175 - 1
4/28 11:01:43.462  Loading Screen : Loading : Files Read 567 : Bytes Read 53054550 : Elapsed MS 2000 : MBytes Per Sec 25.298
4/28 11:01:43.462  Loading Screen : XML Loaded 100%
4/28 11:01:43.462  Loading Screen : World Loaded 100%
4/28 11:01:43.462  Loading Screen : Spell Loaded 100%
4/28 11:01:44.423  Loading Screen Disable (1)
4/28 11:01:44.423  Loading Screen Disable (0)
4/28 11:01:44.423  Loading Screen : Streaming 0
4/28 11:01:44.423  Loading Screen : XML Loaded 100%
4/28 11:01:44.423  Loading Screen : World Loaded 100%
4/28 11:01:44.423  Loading Screen : Spell Loaded 100%
4/28 11:01:44.423  Spellbook : Make Models Local Begin : 97
4/28 11:01:44.423  Spellbook : Make Models Local End
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.423  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
4/28 11:01:44.434  Loading Screen Disable (-1)
