5/7 12:53:57.035  Connection Initialize
5/7 12:54:02.459  Glue Start Login
5/7 12:54:02.459  BattleNet Attempt Logon
5/7 12:54:03.218  BattleNet Front Connected
5/7 12:54:03.529  BattleNet Logon Queue Update
5/7 12:54:04.239  BattleNet Logon Complete
5/7 12:54:04.418  BattleNet Game Account Name
5/7 12:54:04.468  BattleNet Game Account Name
5/7 12:54:04.468  BattleNet Game Account Name
5/7 12:54:04.528  BattleNet Attempt Complete Login
5/7 12:54:04.958  BattleNet Realm List Ticket
5/7 12:54:05.138  BattleNet Sub Region List
5/7 12:54:05.588  BattleNet Last Played Char
5/7 12:54:05.649  BattleNet Last Played Char
5/7 12:54:05.698  BattleNet Last Played Char
5/7 12:54:05.698  BattleNet Last Played Char
5/7 12:54:05.698  BattleNet Last Played Char
5/7 12:54:05.758  BattleNet Last Played Char
5/7 12:54:05.758  BattleNet Join Realm
5/7 12:54:06.019  BattleNet Realm Join
5/7 12:54:06.019  Change Connection
5/7 12:54:06.019  Connect
5/7 12:54:06.188  Handle Connect
5/7 12:54:09.501  Handle Auth Response: 0
5/7 12:54:09.501  Glue Authed To WoW: 0
5/7 12:54:10.040  BattleNet Connected To Realm
5/7 12:54:10.040  BattleNet Front Disconnecting
5/7 12:54:10.050  Handle Char Enum
5/7 12:54:10.399  Handle Char Enum
5/7 12:54:10.399  BattleNet Front Disconnected
5/7 12:54:28.980  Handle Char Enum
5/7 12:55:37.220  Handle Character Create: 24
5/7 12:55:37.580  Handle Char Enum
5/7 12:59:26.108  Handle Logout Response: 0
5/7 12:59:27.092  Disconnect: 13
5/7 12:59:27.092  Connection Destroy
